voters,candidates,phi,top_k,overlap_percent
1000,15,0.9,10,100.0
1000,15,0.9,11,100.0
1000,15,0.9,12,100.0
1000,15,0.9,13,100.0
1000,15,0.9,14,100.0
1000,15,1.0,2,100.0
1000,15,1.0,3,100.0
1000,15,1.0,4,100.0
1000,15,1.0,5,100.0
1000,15,1.0,6,100.0
1000,15,1.0,7,100.0
1000,15,1.0,8,100.0
1000,15,1.0,9,100.0
1000,15,1.0,10,100.0
1000,15,1.0,11,100.0
1000,15,1.0,12,100.0
1000,15,1.0,13,100.0
1000,15,1.0,14,100.0
